episode,total_reward
1,-2302.9679684509874
1,-2601.206453343117
1,-1324.7368282983534
1,-1231.0808357370877
1,-1302.304606555742
1,-1321.8455880220042
1,-1208.7800632630785
1,-751.3205200028422
1,-162.17787245172133
1,-1319.1524307501868
1,-1409.1199372197345
1,-1488.930922994658
1,-1306.0090092768169
1,-1396.964615904416
1,-1342.2455893269992
1,-1384.6895010316778
1,-1070.5624214947118
1,-256.65233069534406
1,-772.4041791430939
1,-1256.1151201737514
1,-764.1577017984255
1,-945.9888732017093
1,-272.2778610391633
1,-455.27276661840096
1,-426.23405074202066
1,-587.75702947098
1,-262.4110213118284
1,-292.19665018928265
1,-290.895362683767

